total bases NEW=160 OLD=160  procs 440vs440
   PROC-083: NEW src=['T-032[b]'] act=评价人员评价 ent=评价 dim=评价状态 n=2
   PROC-084: NEW src=['T-033'] act=提交评价结果 ent=评价 dim=评价状态 n=2
   PROC-085: NEW src=['T-035'] act=退回修改 ent=评价 dim=评价状态 n=2
   PROC-086: NEW src=['T-022'] act=参加者测试与结果提交 ent=样品 dim=样品状态 n=2
   PROC-087: NEW src=['T-028'] act=结果报告回收 ent=样品 dim=样品状态 n=2
   PROC-088: NEW src=['T-024'] act=参加者测试与结果提交，返样 ent=样品 dim=样品状态 n=2
   PROC-089: NEW src=['T-034'] act=确认评价结果 ent=评价 dim=评价状态 n=2
   PROC-090: NEW src=['T-036'] act=编制结果报告 ent=报名记录 dim=报名记录状态 n=5
   PROC-091: NEW src=['T-066'] act=编制结果通知单 ent=报名记录 dim=报名记录状态 n=5
   PROC-092: NEW src=['RO-BR-009'] act=按规则"未结束的项目可以进行消息发送"执行操作 ent=项目 dim=None n=3
   PROC-093: NEW src=['RO-BR-010'] act=按规则"测量审核消息发送页面接收人1必填"执行操作 ent=项目 dim=None n=3
   PROC-094: NEW src=['RO-BR-011'] act=按规则"在项目人员信息区域中的技术主管、实验室负责人、授权签字人字段，如果其备选人有且仅有一个时默认填充为备选值"执行操作 ent=项目 dim=None n=3
   PROC-095: NEW src=['T-029'] act=撤销报名 ent=报名记录 dim=报名记录状态 n=5
   PROC-096: NEW src=['T-038'] act=发放结果报告和证书 ent=报名记录 dim=报名记录状态 n=5
   PROC-097: NEW src=['RO-BR-013'] act=按规则"系统在每天上午9点对系统中的证书信息进行查询，如证书距到期时间等于30天则以邮件方式对用户进行提醒，并抄送项目管理员"执行操作 ent=报名记录 dim=None n=5
   PROC-098: NEW src=['RO-BR-014'] act=按规则"管理用户对报名信息操作后使用短信方式对用户进行通知：报名审核通过/退回修改、样品已发出、测试报告审核通过/未通过、结果通知单已发布节点"执行操作 ent=报名记录 dim=None n=5
   PROC-099: NEW src=['RO-BR-025'] act=按规则"在网络和服务器正常运行的情况下，平台应支持至少300个同时在线用户数；并发100时，每个页面响应时间不超过5秒；单次报名操作成功率应达到95%以上"执行操作 ent=报名记录 dim=None n=5
